usia,qx,lx,dx,Dx,Cx,Nx,Mx
69,0.014461,87006.53774,1258.201542,1561.159168,21.29804031,15904.63287,660.89693
70,0.016477,85748.3362,1412.875336,1451.493628,22.56250991,14343.4737,639.5988897
71,0.019,84335.46086,1602.373756,1346.771101,24.14023672,12891.98008,617.0363797
72,0.021911,82733.08711,1812.764672,1246.398538,25.76399845,11545.20897,592.896143
73,0.025112,80920.32243,2032.071137,1150.083679,27.24613334,10298.81044,567.1321446
74,0.028632,78888.2513,2258.728411,1057.738469,28.57091307,9148.726758,539.8860112
75,0.032385,76629.52289,2481.647099,969.2955674,29.61380844,8090.988289,511.3150982
76,0.036408,74147.87579,2699.575862,884.8159721,30.39092444,7121.692722,481.7012897
77,0.040769,71448.29993,2912.87574,804.3411247,30.93602199,6236.876749,451.3103653
78,0.045472,68535.42419,3116.442809,727.8763598,31.22452248,5432.535625,420.3743433
79,0.050616,65418.98138,3311.247161,655.4512886,31.29841738,4704.659265,389.1498208
80,0.056085,62107.73422,3483.312274,587.0518549,31.06113517,4049.207976,357.8514034
81,0.061853,58624.42194,3626.09637,522.7613695,30.50411225,3462.156121,326.7902683
82,0.067936,54998.32557,3736.366246,462.666991,29.65258934,2939.394752,296.286156
83,0.074351,51261.95933,3811.377938,406.8257041,28.53575276,2476.727761,266.6335667
84,0.081501,47450.58139,3867.269834,355.2620813,27.31529706,2069.902057,238.0978139
85,0.089179,43583.31155,3886.716141,307.8376098,25.89872661,1714.639976,210.7825168
86,0.097468,39696.59541,3869.147762,264.5141128,24.32232222,1406.802366,184.8837902
87,0.106452,35827.44765,3813.903457,225.2192937,22.61796627,1142.288253,160.561468
88,0.116226,32013.54419,3720.806188,189.8530655,20.81685131,917.0689593,137.9435017
89,0.126893,28292.73801,3590.150404,158.2898142,18.94893339,727.2158938,117.1266504
90,0.138577,24702.5876,3423.210482,130.38108,17.0451122,568.9260796,98.17771704
91,0.151192,21279.37712,3217.271586,105.9559067,15.1129108,438.5449996,81.13260484
92,0.165077,18062.10554,2981.638195,84.84549175,13.21324457,332.5890929,66.01969404
93,0.180401,15080.46734,2720.531389,66.82967218,11.37371669,247.7436011,52.80644948
94,0.197349,12359.93595,2439.221,51.67314386,9.620418177,180.9139289,41.43273279
95,0.216129,9920.714951,2144.154202,39.12783075,7.977980124,129.2407851,31.81231461
96,0.23697,7776.560749,1842.811601,28.93506775,6.468625476,90.11295431,23.83433449
97,0.258059,5933.749149,1531.257372,20.82860825,5.070763978,61.17788656,17.36570901
98,0.280237,4402.491777,1233.741088,14.57886645,3.85428094,40.34927831,12.29494503
99,0.304679,3168.750689,965.4517912,9.899366651,2.845404841,25.77041187,8.440664092
100,0.33163,2203.298898,730.6800135,6.493620301,2.031584246,15.87104521,5.59525925
101,0.361361,1472.618884,532.1470327,4.094472642,1.395832763,9.377424913,3.563675005
102,0.394167,940.4718517,370.7029684,2.466877277,0.917322279,5.282952271,2.167842242
103,0.430366,569.7688833,245.2091552,1.409920435,0.572435677,2.816074994,1.250519963
104,0.471522,324.5597281,153.0370521,0.757677941,0.337039451,1.406154559,0.678084285
105,0.519196,171.522676,89.05388727,0.377751059,0.18502532,0.648476618,0.341044835
106,0.57495,82.4687887,47.41543006,0.171343604,0.092937741,0.270725558,0.156019515
107,0.640345,35.05335864,22.44624294,0.068707169,0.041505936,0.099381954,0.063081774
108,0.716944,12.6071157,9.038595959,0.023312148,0.015767457,0.030674786,0.021575838
109,0.806309,3.568519742,2.877329584,0.006225135,0.004735267,0.007362638,0.005808381
110,0.999999,0.691190157,0.691189466,0.001137503,0.001073115,0.001137503,0.001073115
