usia,qx,lx,dx,Dx,Cx,Nx,Mx
5,0.000171,100000,17.1,74725.81729,12.05482524,1300503.452,1112.414355
6,0.00014,99982.9,13.997606,70483.99922,9.309207444,1225777.635,1100.35953
7,0.000118,99968.90239,11.79633048,66485.02968,7.401163681,1155293.635,1091.050322
8,0.000104,99957.10606,10.39553903,62714.32495,6.15310358,1088808.606,1083.649158
9,0.000097,99946.71052,9.694830921,59158.30439,5.413542949,1026094.281,1077.496055
10,0.000096,99937.01569,9.593953507,55804.30758,5.053975026,966935.9763,1072.082512
11,0.000104,99927.42174,10.39245186,52640.51922,5.164730187,911131.6687,1067.028537
12,0.000113,99917.02929,11.29062431,49655.70246,5.293485262,858491.1495,1061.863807
13,0.000122,99905.73866,12.18850012,46839.70883,5.390985356,808835.447,1056.570321
14,0.000131,99893.55016,13.08605507,44183.01357,5.460353564,761995.7382,1051.179336
15,0.00014,99880.46411,13.98326498,41676.62792,5.504460292,717812.7246,1045.718983
16,0.000149,99866.48084,14.88010565,39312.06905,5.525941782,676136.0967,1040.214522
17,0.000159,99851.60074,15.87640452,37081.33165,5.562199748,636824.0276,1034.68858
18,0.000168,99835.72433,16.77240169,34976.82615,5.543496975,599742.696,1029.126381
19,0.000179,99818.95193,17.8675924,32991.46231,5.571199767,564765.8698,1023.582884
20,0.000189,99801.08434,18.86240494,31118.44985,5.548478321,531774.4075,1018.011684
21,0.000201,99782.22193,20.05622661,29351.47968,5.565705109,500655.9577,1012.463206
22,0.000212,99762.16571,21.14957913,27684.50946,5.536901893,471304.478,1006.897501
23,0.000225,99741.01613,22.44172863,26111.92486,5.542625559,443619.9685,1001.360599
24,0.000239,99718.5744,23.83273928,24628.34875,5.552995614,417508.0437,995.8179731
25,0.000253,99694.74166,25.22276964,23228.73828,5.54421772,392879.6949,990.2649775
26,0.000268,99669.51889,26.71143106,21908.35982,5.539094746,369650.9567,984.7207597
27,0.000284,99642.80746,28.29855732,20662.72488,5.536050818,347742.5968,979.181665
28,0.000302,99614.5089,30.08358169,19487.60063,5.552127727,327079.872,973.6456142
29,0.00032,99584.42532,31.8670161,18378.97677,5.548370345,307592.2713,968.0934865
30,0.000342,99552.55831,34.04697494,17333.10896,5.592380438,289213.2946,962.5451161
31,0.000364,99518.51133,36.22473812,16346.3972,5.613291115,271880.1856,956.9527357
32,0.000388,99482.28659,38.5991272,15415.51615,5.642660627,255533.7884,951.3394446
33,0.000414,99443.68746,41.16968661,14537.2971,5.677774528,240118.2722,945.6967839
34,0.000443,99402.51778,44.03531538,13708.75345,5.72922432,225580.9751,940.0190094
35,0.000476,99358.48246,47.29463765,12927.05705,5.804980336,211872.2217,934.2897851
36,0.000502,99311.18783,49.85421629,12189.53186,5.772778296,198945.1646,928.4848047
37,0.000536,99261.33361,53.20407481,11493.78558,5.811951954,186755.6328,922.7120264
38,0.000573,99208.12953,56.84625822,10837.38199,5.858320643,175261.8472,916.9000745
39,0.000617,99151.28328,61.17634178,10218.08695,5.947697784,164424.4652,911.0417539
40,0.000665,99090.10693,65.89492111,9633.756976,6.043819235,154206.3783,905.0940561
41,0.000716,99024.21201,70.9013358,9082.406159,6.134908311,144572.6213,899.0502368
42,0.000775,98953.31068,76.68881577,8562.172788,6.260079161,135490.2151,892.9153285
43,0.000842,98876.62186,83.25411561,8071.261419,6.41132275,126928.0423,886.6552494
44,0.000919,98793.36775,90.79110496,7607.986243,6.595980525,118856.7809,880.2439266
45,0.00101,98702.57664,99.68960241,7170.749531,6.832506629,111248.7947,873.6479461
46,0.001117,98602.88704,110.1394248,6758.025542,7.121428802,104078.0451,866.8154395
47,0.001237,98492.74761,121.8355288,6368.374365,7.431772726,97320.0196,859.6940107
48,0.001366,98370.91208,134.3746659,6000.468572,7.732679311,90951.64524,852.2622379
49,0.001505,98236.53742,147.8459888,5653.086728,8.026316534,84951.17666,844.5295586
50,0.001647,98088.69143,161.5520748,5325.07437,8.273959895,79298.08994,836.5032421
51,0.001793,97927.13936,175.5833609,5015.381107,8.483564457,73973.01556,828.2292822
52,0.001949,97751.55599,190.5177826,4723.008046,8.684096869,68957.63446,819.7457177
53,0.00212,97561.03821,206.829401,4446.983871,8.893967741,64234.62641,811.0616209
54,0.002315,97354.20881,225.3749934,4186.373835,9.142882479,59787.64254,802.1676531
55,0.002541,97128.83382,246.8043667,3940.266396,9.445487652,55601.26871,793.0247706
56,0.002803,96882.02945,271.5603286,3707.786961,9.804647973,51661.00231,783.579283
57,0.003103,96610.46912,299.7822857,3488.107579,10.21094134,47953.21535,773.774635
58,0.003443,96310.68684,331.5976948,3280.456586,10.65529437,44465.10777,763.5636937
59,0.003821,95979.08914,366.7360996,3084.11507,11.11736197,41184.65118,752.9083993
60,0.004241,95612.35304,405.4919893,2898.425157,11.59643499,38100.53611,741.7910373
61,0.004703,95206.86105,447.7578675,2722.766921,12.08035172,35202.11096,730.1946024
62,0.00521,94759.10319,493.6949276,2556.567687,12.56577137,32479.34404,718.1142506
63,0.005769,94265.40826,543.8171402,2399.290537,13.05802557,29922.77635,705.5484793
64,0.006386,93721.59112,598.5060809,2250.423613,13.55774075,27523.48581,692.4904537
65,0.007064,93123.08504,657.8214727,2109.483404,14.05791581,25273.0622,678.9327129
66,0.007817,92465.26356,722.8009653,1976.020767,14.57222107,23163.5788,664.8747971
67,0.008681,91742.4626,796.4163178,1849.598314,15.14751223,21187.55803,650.3025761
68,0.009702,90946.04628,882.358541,1729.756557,15.83216804,19337.95972,635.1550638
69,0.010922,90063.68774,983.6755975,1616.013641,16.65103866,17608.20316,619.3228958
70,0.012385,89080.01214,1103.25595,1507.890132,17.6181314,15992.18952,602.6718571
71,0.014128,87976.75619,1242.935611,1404.919729,18.72519427,14484.29939,585.0537257
