usia,qx,lx,dx,Dx,Cx,Nx,Mx
64,0.01104,84027.75322,927.6663955,2017.657167,21.01408974,23756.40618,672.9549302
65,0.01146,83100.08682,952.326995,1882.436067,20.35162013,21738.74901,651.9408404
66,0.01199,82147.75983,984.9516403,1755.531462,19.85737947,19856.31294,631.5892203
67,0.0126,81162.80819,1022.651383,1636.304377,19.45041052,18100.78148,611.7318409
68,0.01329,80140.1568,1065.062684,1524.232964,19.11043028,16464.4771,592.2814303
69,0.01405,79075.09412,1111.005072,1418.845197,18.80639152,14940.24414,573.171
70,0.01485,77964.08905,1157.766722,1319.726813,18.48862563,13521.39894,554.3646085
71,0.01574,76806.32233,1208.931513,1226.536669,18.21291243,12201.67213,535.8759829
72,0.0167,75597.39081,1262.476427,1138.897153,17.94300232,10975.13546,517.6630705
73,0.01777,74334.91439,1320.931429,1056.488274,17.7111289,9836.238307,499.7200681
74,0.01895,73013.98296,1383.614977,978.9759222,17.50150352,8779.750033,482.0089392
75,0.02026,71630.36798,1451.231255,906.0606873,17.31772597,7800.77411,464.5074357
76,0.02369,70179.13672,1662.543749,837.4565073,18.71636288,6894.713423,447.1897098
77,0.02738,68516.59298,1875.984316,771.3369459,19.92377885,6057.256916,428.4733469
78,0.0313,66640.60866,2085.851051,707.7525852,20.898732,5285.91997,408.549568
79,0.03693,64554.75761,2384.007199,646.7923861,22.53400266,4578.167385,387.650836
80,0.04518,62170.75041,2808.874504,587.6474937,25.04708846,3931.374999,365.1168334
81,0.05527,59361.87591,3280.930881,529.3373395,27.60044788,3343.727505,340.0697449
82,0.06732,56080.94503,3775.369219,471.7744007,29.96212515,2814.390165,312.469297
83,0.08228,52305.57581,4303.702777,415.1080642,32.22178446,2342.615765,282.5071719
84,0.09478,48001.87303,4549.617526,359.3895969,32.13485471,1927.5077,250.2853874
85,0.10465,43452.2555,4547.278538,306.9119348,30.30031507,1568.118104,218.1505327
86,0.11533,38904.97696,4486.910993,259.2392461,28.2057191,1261.206169,187.8502176
87,0.12698,34418.06597,4370.406017,216.3596074,25.91824806,1001.966923,159.6444985
88,0.13947,30047.65995,4190.747134,178.1945891,23.44603711,785.6073153,133.7262505
89,0.15271,25856.91282,3948.609157,144.6620658,20.84089063,607.4127262,110.2802134
90,0.16659,21908.30366,3649.704307,115.6327563,18.17288762,462.7506604,89.43932274
91,0.17991,18258.59936,3284.90461,90.91461837,15.43061225,347.1179041,71.26643512
92,0.1939,14973.69475,2903.399411,70.33789564,12.86652638,256.2032857,55.83582286
93,0.20874,12070.29533,2519.553448,53.48997894,10.53348887,185.8653901,42.96929648
94,0.22451,9550.741887,2144.237061,39.92875541,8.456985733,132.3754111,32.43580761
95,0.24126,7406.504826,1786.893354,29.21165145,6.648682102,92.44665572,23.97882188
96,0.25715,5619.611471,1445.08309,20.90947964,5.072521405,63.23500427,17.33013978
97,0.27419,4174.528382,1144.613937,14.65340278,3.790392933,42.32552463,12.25761837
98,0.29249,3029.914445,886.2196759,10.03357196,2.768603266,27.67212185,8.467225437
99,0.31215,2143.694769,669.1543221,6.697030656,1.972149169,17.63854989,5.698622171
100,0.33331,1474.540447,491.4790763,4.34580428,1.366509457,10.94151924,3.726473002
101,0.35163,983.0613704,345.6738697,2.733305901,0.906709768,6.595714957,2.359963545
102,0.37132,637.3875007,236.6747268,1.671880705,0.585662965,3.862409056,1.453253777
103,0.3925,400.712774,157.2797638,0.991582983,0.36716634,2.190528351,0.867590812
104,0.41527,243.4330102,101.0904261,0.568289304,0.222635377,1.198945369,0.500424472
105,0.43973,142.342584,62.59230448,0.313486608,0.130046666,0.630656065,0.277789095
106,0.46602,79.75027956,37.16522528,0.165695417,0.072846583,0.317169457,0.147742429
107,0.49429,42.58505428,21.04936648,0.083469848,0.038922935,0.15147404,0.074895846
108,0.52467,21.5356878,11.29912932,0.039822204,0.019710864,0.068004192,0.035972911
109,0.55733,10.23655848,5.705141139,0.017857253,0.009389041,0.028181988,0.016262046
110,0.59244,4.531417343,2.684592891,0.007457425,0.004167997,0.010324734,0.006873006
111,1,1.846824452,1.846824452,0.002867309,0.002705009,0.002867309,0.002705009
