usia,qx,lx,dx,Dx,Cx,Nx,Mx
5,0.000342,100000,34.2,74725.81729,24.10965048,1289764.522,1720.278277
6,0.000318,99965.8,31.7891244,70471.94439,21.14158332,1215038.705,1696.168627
7,0.000302,99934.01088,30.18007128,66461.82483,18.93535009,1144566.761,1675.027044
8,0.000294,99903.8308,29.37172626,62680.89939,17.38507964,1078104.936,1656.091693
9,0.000292,99874.45908,29.16334205,59115.53887,16.28465788,1015424.037,1638.706614
10,0.000293,99845.29574,29.25467165,55753.09164,15.41099608,956308.4977,1622.421956
11,0.000298,99816.04106,29.74518024,52581.84527,14.78244329,900555.4061,1607.01096
12,0.000304,99786.29588,30.33503395,49590.73196,14.22224766,847973.5608,1592.228517
13,0.00031,99755.96085,30.92434786,46769.48715,13.67786888,798382.8289,1578.006269
14,0.000317,99725.0365,31.61283657,44108.47982,13.19093217,751613.3417,1564.3284
15,0.000325,99693.42367,32.40036269,41598.58248,12.75428236,707504.8619,1551.137468
16,0.000333,99661.0233,33.18712076,39231.19145,12.32451581,665906.2794,1538.383185
17,0.000343,99627.83618,34.17234781,36998.23346,11.97206988,626675.088,1526.05867
18,0.000353,99593.66383,35.15656333,34892.02176,11.61970159,589676.8545,1514.0866
19,0.000365,99558.50727,36.33885515,32905.38196,11.33062681,554784.8327,1502.466898
20,0.000377,99522.16842,37.51985749,31031.48254,11.03666879,521879.4508,1491.136271
21,0.000392,99484.64856,38.99798223,29263.94686,10.82213884,490847.9682,1480.099603
22,0.000408,99445.65058,40.57382544,27596.6749,10.62211638,461584.0214,1469.277464
23,0.000424,99405.07675,42.14775254,26023.97685,10.40959074,433987.3465,1458.655347
24,0.000444,99362.929,44.11714048,24540.51196,10.27923331,407963.3696,1448.245757
25,0.000464,99318.81186,46.0839287,23141.14715,10.12970969,383422.8577,1437.966523
26,0.000488,99272.72793,48.44509123,21821.14118,10.04595934,360281.7105,1427.836814
27,0.000513,99224.28284,50.9020571,20575.93629,9.957976713,338460.5693,1417.790854
28,0.000542,99173.38078,53.75197238,19401.30267,9.920288725,317884.6331,1407.832878
29,0.000572,99119.62881,56.69642768,18293.19544,9.871422445,298483.3304,1397.912589
30,0.000607,99062.93238,60.13119996,17247.86013,9.876840657,280190.1349,1388.041166
31,0.000645,99002.80118,63.85680676,16261.68932,9.895084536,262942.2748,1378.164326
32,0.000687,98938.94437,67.97105478,15331.32125,9.936431792,246680.5855,1368.269241
33,0.000734,98870.97332,72.57129442,14453.57418,10.00841835,231349.2642,1358.332809
34,0.000785,98798.40202,77.55674559,13625.43892,10.09053732,216895.6901,1348.324391
35,0.00086,98720.84528,84.89992694,12844.09713,10.42068257,203270.2511,1338.233854
36,0.000907,98635.94535,89.46280243,12106.65208,10.35918249,190426.154,1327.813171
37,0.000966,98546.48255,95.19590214,11411.0107,10.39909089,178319.5019,1317.453989
38,0.001039,98451.28665,102.2908868,10754.70535,10.54164043,166908.4912,1307.054898
39,0.001128,98348.99576,110.9376672,10135.4068,10.78560271,156153.7859,1296.513257
40,0.001238,98238.05809,121.6187159,9550.918924,11.15475248,146018.3791,1285.727655
41,0.00137,98116.43938,134.4195219,8999.146119,11.63097187,136467.4602,1274.572902
42,0.001527,97982.01986,149.6185443,8478.129518,12.21330545,127468.314,1262.94193
43,0.001715,97832.40131,167.7825682,7986.022089,12.92078102,118990.1845,1250.728625
44,0.001932,97664.61874,188.6880434,7521.062322,13.70820038,111004.1624,1237.807844
45,0.002183,97475.9307,212.7899567,7081.633613,14.58415677,103483.1001,1224.099643
46,0.002471,97263.14074,240.3372208,6666.20227,15.53979793,96401.46651,1209.515487
47,0.00279,97022.80352,270.6936218,6273.330268,16.51187873,89735.26424,1193.975689
48,0.003138,96752.1099,303.6081209,5901.724223,17.47133077,83461.93397,1177.46381
49,0.003513,96448.50178,338.8235868,5550.193031,18.39417747,77560.20975,1159.992479
50,0.003909,96109.67819,375.6927321,5217.636984,19.24126695,72010.01672,1141.598302
51,0.004324,95733.98546,413.9537531,4903.057774,20.0007753,66792.37973,1122.357035
52,0.004755,95320.03171,453.2467508,4605.525427,20.65969189,61889.32196,1102.35626
53,0.0052,94866.78496,493.3072818,4324.175617,21.21293699,57283.79653,1081.696568
54,0.00566,94373.47768,534.1538836,4058.198022,21.66924604,52959.62091,1060.483631
55,0.006131,93839.32379,575.3288942,3806.819454,22.01850007,48901.42289,1038.814385
56,0.006618,93263.9949,617.2211182,3569.320607,22.28468281,45094.60344,1016.795885
57,0.007139,92646.77378,661.405318,3344.998909,22.52825209,41525.28283,994.5112018
58,0.007719,91985.36846,710.0350592,3133.131096,22.8156971,38180.28392,971.9829497
59,0.008384,91275.3334,765.2523952,2932.968356,23.19811952,35047.15282,949.1672526
60,0.009158,90510.08101,828.8913219,2743.75316,23.70499192,32114.18447,925.9691331
61,0.010064,89681.18968,902.551493,2564.741385,24.35052575,29370.43131,902.2641411
62,0.011133,88778.63819,988.372579,2395.216819,25.15655551,26805.68992,877.9136154
63,0.012391,87790.26561,1087.809181,2234.481953,26.12025083,24410.47311,852.7570599
64,0.013868,86702.45643,1202.389666,2081.881591,27.23729614,22175.99115,826.6368091
65,0.015592,85500.06677,1333.117041,1936.801941,28.48926025,20094.10956,799.3995129
66,0.017579,84166.94972,1479.570809,1798.682382,29.82928075,18157.30762,770.9102527
67,0.019804,82687.37892,1637.540852,1667.040891,31.14535642,16358.62524,741.0809719
