usia,qx,lx,dx,Dx,Cx,Nx,Mx
69,0.032435,72694.30556,2357.839801,1304.354644,39.91202159,11250.93959,667.5090069
70,0.036106,70336.46576,2539.568433,1190.611228,40.55491414,9946.584948,627.5969854
71,0.040008,67796.89732,2712.418268,1082.663225,40.86338709,8755.97372,587.0420712
72,0.043827,65084.47906,2852.457464,980.517014,40.54067847,7673.310495,546.1786841
73,0.047489,62232.02159,2955.336473,884.4753725,39.6253311,6692.793481,505.6380057
74,0.051221,59276.68512,3036.211088,794.7853977,38.40538005,5808.318108,466.0126746
75,0.055293,56240.47403,3109.704531,711.3921649,37.10849715,5013.532711,427.6072945
76,0.060068,53130.7695,3191.459062,634.0161867,35.92838142,4302.140546,390.4987974
77,0.065924,49939.31044,3292.199101,562.2000966,34.96460299,3668.124359,354.5704159
78,0.072595,46647.11134,3386.347047,495.4128467,33.92876944,3105.924262,319.605813
79,0.079692,43260.76429,3447.536828,433.4418406,32.58664827,2610.511416,285.6770435
80,0.087431,39813.22746,3480.91029,376.3207486,31.03971638,2177.069575,253.0903953
81,0.095445,36332.31717,3467.738012,323.9798577,29.17194106,1800.748826,222.0506789
82,0.103691,32864.57916,3407.761078,276.4694342,27.04470953,1476.768969,192.8787378
83,0.112303,29456.81808,3308.089041,233.7755114,24.76763326,1200.299535,165.8340283
84,0.121116,26148.72904,3167.029466,195.775302,22.36935988,966.5240232,141.066395
85,0.130102,22981.69957,2989.965078,162.3243212,19.92331966,770.7487212,118.6970351
86,0.139315,19991.7345,2785.148491,133.2128325,17.50806203,608.4243999,98.77371548
87,0.148714,17206.586,2558.860231,108.1644214,15.17506016,475.2115674,81.26565345
88,0.158486,14647.72577,2321.459467,86.86684684,12.9879048,367.047146,66.09059329
89,0.168709,12326.26631,2079.552062,68.96195071,10.97594504,280.1802992,53.10268849
90,0.179452,10246.71424,1838.793365,54.08249903,9.155860958,211.2183485,42.12674345
91,0.190489,8407.92088,1601.61644,41.86536454,7.523482477,157.1358495,32.97088249
92,0.201681,6806.304439,1372.702286,31.97214445,6.083183079,115.2704849,25.44740002
93,0.212986,5433.602154,1157.281188,24.07921734,4.838241684,83.29834047,19.36421694
94,0.226535,4276.320965,968.7363699,17.87800109,3.820748092,59.21912312,14.52597525
95,0.241164,3307.584595,797.6703314,13.04529067,2.967975925,41.34112203,10.70522716
96,0.256204,2509.914264,643.0500741,9.33890207,2.257230251,28.29583136,7.737251237
97,0.27248,1866.86419,508.6831545,6.553054721,1.684505991,18.95692929,5.480020987
98,0.290163,1358.181035,394.0938838,4.497621104,1.231172861,12.40387457,3.795514996
99,0.309125,964.0871517,298.0234408,3.011865917,0.878342501,7.906253464,2.564342135
100,0.329825,666.0637109,219.6844635,1.963040439,0.610811144,4.894387547,1.685999634
101,0.352455,446.3792475,157.3285977,1.241113798,0.412676192,2.931347109,1.07518849
102,0.37722,289.0506498,109.0356861,0.758185882,0.269814036,1.69023331,0.662512297
103,0.406205,180.0149637,73.12297832,0.445455664,0.170704073,0.932047429,0.392698261
104,0.441497,106.8919854,47.19249086,0.249537119,0.103933858,0.486591765,0.221994188
105,0.485182,59.6994945,28.96512014,0.131478518,0.060180199,0.237054647,0.11806033
106,0.539343,30.73437436,16.57636967,0.063856139,0.032490907,0.105576128,0.057880132
107,0.606069,14.15800469,8.580727744,0.027750734,0.015866848,0.041719989,0.025389224
108,0.687444,5.577276945,3.834065572,0.010313089,0.006688369,0.013969255,0.009522376
109,0.785555,1.743211373,1.36938841,0.00304096,0.002253624,0.003656167,0.002834007
110,0.999999,0.373822963,0.373822589,0.000615206,0.000580383,0.000615206,0.000580383
